time(s),dP1(Pa)
1519510913.423348,  0.735668
1519510913.452578,  0.688206
1519510913.481802,  0.664474
1519510913.511027,  0.688206
1519510913.540253,  0.735668
1519510913.569465,  0.664474
1519510913.598673,  0.617012
1519510913.627873,  0.688206
1519510913.657084,  0.664474
1519510913.686303,  0.711937
1519510913.715533,  0.640743
1519510913.744758,  0.593281
1519510913.773987,  0.640743
1519510913.803214,  0.664474
1519510913.832445,  0.664474
1519510913.861662,  0.593281
1519510913.890906,  0.688206
1519510913.920123,  0.617012
1519510913.949351,  0.664474
1519510913.978569,  0.640743
1519510914.007789,  0.664474
1519510914.037020,  0.640743
1519510914.066254,  0.711937
1519510914.095483,  0.664474
1519510914.124703,  0.688206
1519510914.153912,  0.640743
1519510914.183143,  0.640743
1519510914.212375,  0.711937
1519510914.241593,  0.688206
1519510914.270818,  0.664474
1519510914.300051,  0.640743
1519510914.329283,  0.664474
1519510914.358505,  0.640743
1519510914.387729,  0.735668
1519510914.416958,  0.593281
1519510914.446174,  0.688206
1519510914.475399,  0.664474
1519510914.504624,  0.664474
1519510914.533842,  0.735668
1519510914.563069,  0.640743
1519510914.592363,  0.688206
1519510914.621593,  0.617012
1519510914.650816,  0.735668
1519510914.680052,  0.640743
1519510914.709276,  0.664474
1519510914.738499,  0.640743
1519510914.767724,  0.664474
1519510914.796947,  0.664474
1519510914.826162,  0.617012
1519510914.855381,  0.640743
1519510914.884595,  0.640743
1519510914.913819,  0.711937
1519510914.943047,  0.640743
1519510914.972258,  0.759399
1519510915.001502,  0.711937
1519510915.030719,  0.711937
1519510915.059932,  0.664474
1519510915.089150,  0.711937
1519510915.118361,  0.711937
1519510915.147575,  0.617012
1519510915.176786,  0.640743
1519510915.205992,  0.640743
1519510915.235198,  0.735668
1519510915.264409,  0.688206
1519510915.293635,  0.688206
1519510915.322852,  0.688206
1519510915.352067,  0.640743
1519510915.381290,  0.617012
1519510915.410497,  0.640743
1519510915.439712,  0.617012
1519510915.468923,  0.664474
1519510915.498134,  0.593281
1519510915.527341,  0.664474
1519510915.556552,  0.688206
1519510915.585761,  0.664474
1519510915.614973,  0.688206
1519510915.644200,  0.664474
1519510915.673428,  0.664474
1519510915.702654,  0.664474
1519510915.731875,  0.640743
1519510915.761098,  0.688206
1519510915.790366,  0.664474
1519510915.819611,  0.664474
1519510915.848847,  0.664474
1519510915.878066,  0.664474
1519510915.907287,  0.617012
1519510915.936499,  0.664474
1519510915.965716,  0.640743
1519510915.994940,  0.640743
1519510916.024161,  0.688206
1519510916.053377,  0.664474
1519510916.082611,  0.688206
1519510916.111831,  0.664474
1519510916.141050,  0.688206
1519510916.170264,  0.711937
1519510916.199474,  0.664474
1519510916.228692,  0.664474
1519510916.257900,  0.664474
1519510916.287122,  0.640743
1519510916.316354,  0.688206
1519510916.345587,  0.617012
1519510916.374818,  0.688206
1519510916.404031,  0.617012
1519510916.433246,  0.664474
1519510916.462479,  0.711937
1519510916.491701,  0.664474
1519510916.520929,  0.664474
1519510916.550149,  0.688206
1519510916.579376,  0.617012
1519510916.608595,  0.569550
1519510916.637814,  0.735668
1519510916.667052,  0.688206
1519510916.696278,  0.617012
1519510916.725502,  0.735668
1519510916.754730,  0.711937
1519510916.783959,  0.711937
1519510916.813177,  0.711937
1519510916.842401,  0.688206
1519510916.871611,  0.688206
1519510916.900840,  0.617012
1519510916.930062,  0.640743
1519510916.959284,  0.688206
